State,Month,Tested,Confirmed,Deceased,latitude,longitude,population,Status,AQIUS,PM25,PM10,Temp,Humid
ANDHRA PRADESH,2021-08,796336350,61793002,422859,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-11,274513954,25558844,205986,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-10,214730441,23891277,196555,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-02,379357080,24888850,200564,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-03,0,180,0,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-12,340730258,27168365,218920,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-09,143345158,17435463,150803,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-09,825251498,61014709,420842,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-01,388542590,27454434,221231,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-04,831615,18634,440,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-07,724580446,59921921,405709,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-08,88689222,8993859,82340,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-06,17941804,225800,3037,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-05,7167130,73676,1491,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-04,469007547,28989600,223475,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-10,897453995,63848566,443048,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2020-07,40729796,1646484,18688,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-03,451319401,27696218,222792,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-06,620271299,54460512,360363,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ANDHRA PRADESH,2021-05,556412918,44235180,292158,14.7504291,78.57002559,10000000,MODERATE,67,20,47,31,66
ARUNACHAL PRADESH,2020-08,3901812,85434,138,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-10,8893386,397964,864,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-03,12725455,522072,1736,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-04,8242,29,0,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-12,11477779,513097,1713,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-08,31184221,1588174,7765,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-10,36260799,1703963,8663,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-04,12735835,515626,1694,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-11,10265950,472751,1410,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-07,1296620,21242,76,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-01,11971832,520524,1736,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-02,11205407,471320,1568,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-07,26400098,1305793,6177,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-06,483487,3107,7,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-09,33165308,1616923,8102,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-05,15852713,692416,2555,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2021-06,20602625,957948,4404,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-05,111203,45,0,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ARUNACHAL PRADESH,2020-09,6332338,202699,344,27.10039878,93.61660071,1383727,MODERATE,93,32,49,22,82
ASSAM,2021-03,218603943,6754859,34061,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-09,84228128,4407425,14929,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-11,150276423,6306062,28793,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-03,0,1,0,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-04,123149,948,21,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-04,233884285,6822333,34542,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-02,186950020,6084958,30460,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-09,682094862,17894998,173211,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-05,1267506,9235,83,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-07,19279318,684704,1546,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-12,176169713,6661106,31350,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-07,520179312,16800254,153128,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-06,389871996,13991468,120716,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-10,749307582,18801342,184231,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-08,631485485,17976462,170219,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-05,299550473,10290215,69711,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-10,128913669,6119594,26151,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-06,7153523,135602,222,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2021-01,193959271,6719445,33126,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
ASSAM,2020-08,51503857,2350394,6054,26.7499809,94.21666744,10000000,MODERATE,96,33,56,24,79
BIHAR,2021-07,1091647927,22433452,298333,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-08,1229761384,22487658,299100,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-10,279554794,6249087,30620,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-08,54096607,3095871,16111,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-05,872899679,19578665,121135,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-09,157148977,4848233,24711,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-11,386734519,6809576,35528,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-04,750771765,9889037,54922,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-05,1450372,49123,278,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-03,0,90,3,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-10,1494441970,22506701,299491,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-04,279320,3900,43,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-06,4112686,201627,1259,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-01,613286377,7993425,45026,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-02,612998950,7328950,42712,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-07,11129288,761694,5188,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-06,947705425,21513741,252479,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2020-12,514916197,7587649,41375,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-03,712699557,8167415,48219,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
BIHAR,2021-09,1323285883,21775539,289736,25.78541445,87.4799727,10000000,UNHEALTHY,204,111,229,27,47
CHANDIGARH,2020-06,184102,10976,165,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-12,5074075,581544,9385,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-02,6580545,596183,9654,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-09,21153128,1955029,24511,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-08,666528,71522,963,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-11,3738167,477723,7483,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-04,10675814,1006392,12376,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-07,325319,20957,315,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-04,12438,815,0,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-06,16257684,1833853,23748,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-01,6171332,634009,10190,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-09,1619986,256360,3140,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-03,8779355,738164,11217,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-10,23813080,2024147,25416,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-05,89539,6074,83,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-07,18342242,1917438,25078,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-08,19884521,1952894,25157,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-10,2873611,416083,6214,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2021-05,14277533,1671052,19534,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHANDIGARH,2020-03,0,97,0,30.71999697,76.78000565,1055450,POOR,122,47,79,27,22
CHHATTISGARH,2020-04,197207,817,0,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-03,0,52,0,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-03,163649174,10016122,122101,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-05,253723680,27688963,355048,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-02,126915259,8660526,105650,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-06,3366037,51881,240,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-08,13445035,537631,4672,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-07,7237236,162944,816,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-05,1163793,4859,3,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-04,193668843,15548635,174471,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-08,370458379,31113636,419922,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-07,337038509,30969514,418171,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-09,25297099,2174925,17824,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-09,383208281,30148661,406801,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-01,121023668,9073448,109929,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-06,294596657,29609682,399625,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-12,95358000,8086754,97212,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-10,45548176,4777284,45464,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2020-11,65172786,6387373,77380,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
CHHATTISGARH,2021-10,416133630,31175760,420691,22.09042035,82.15998734,10000000,POOR,117,43,84,30,20
DELHI,2021-06,613127042,42939618,743647,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-08,40535918,4763289,130401,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-03,0,683,6,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-06,9972589,1460911,48149,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-10,120597361,10150680,184387,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-11,164571393,14572061,232483,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-01,303109183,19576349,332550,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-10,886180599,44620361,777772,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-04,478437191,25278113,373996,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-05,566460465,42096245,655385,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-08,766251210,44550062,777214,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-09,801097257,43150446,752519,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-03,417610914,20052984,339518,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-12,232064830,18844158,311793,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-02,324338043,17837843,304892,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-05,3968864,310866,5303,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-07,24551654,3608507,107869,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2021-07,701533709,44495857,775716,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-09,68841611,6836242,145657,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
DELHI,2020-04,611295,49581,953,28.6699929,77.23000403,10000000,UNHEALTHY,257,187,392,28,30
GOA,2021-03,16067209,1744004,25137,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-04,22405,205,0,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-05,23226682,4066503,62711,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-06,26250615,4879145,87561,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-10,8635866,1225565,16357,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-11,9714030,1379455,19770,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-02,13247407,1519022,21854,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-09,38524432,5256538,97723,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-08,5127596,356888,3470,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-07,30747366,5247773,96297,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-05,263681,1012,0,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-12,11636634,1539259,22133,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-03,0,27,0,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-10,43943348,5499898,103600,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-01,13206306,1621348,23354,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-08,35143791,5350720,98390,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-07,3121066,102713,629,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2021-04,17670828,2046221,27557,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-06,1306691,18779,20,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
GOA,2020-09,6871777,776198,9390,15.491997,73.81800065,1458545,MODERATE,79,26,69,25,80
HARYANA,2021-05,256600285,20722073,202369,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-01,152143228,8238975,92223,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-09,46515840,2967041,31160,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-04,306053,6139,70,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-12,126718763,7837873,84863,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-08,350227271,23876999,299426,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-02,152411798,7536884,85017,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-06,5688005,245702,3391,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-04,203501259,10750354,103993,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-11,91015576,6040289,62050,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-09,362472338,23120694,292953,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-03,0,595,0,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-08,26659061,1498908,16928,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-07,325228162,23851878,296641,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-05,2284187,29691,383,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-10,71734100,4586100,50279,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2020-07,13141441,754651,10250,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-06,287882535,22962739,271005,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-03,184768648,8618144,95720,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HARYANA,2021-10,394737866,23903053,309253,28.45000633,77.01999101,10000000,POOR,180,101,230,28,29
HIMACHAL PRADESH,2020-04,65423,922,58,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-06,1715066,17884,208,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-03,0,33,3,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-06,66051493,5953608,101090,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-07,3418936,47873,332,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-11,13865809,913866,13759,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-05,53623693,4780814,71933,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-10,10585297,573688,7949,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-09,100153979,6492289,108773,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2020-05,571215,3917,112,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
HIMACHAL PRADESH,2021-04,41161198,2295744,35587,31.10002545,77.16659704,6864602,MODERATE,69,20,36,19,31
